Date,City,District,Amount,Currency,Property,Seller,Area,Rooms,Bathrooms,Parking,Garden,Balcony,Terrace,Floor,New,Estate,Townhouse,Apartment,Land,Studio,Title,Description
2022-08-17,kraków,,555276.34,pln,flat,realtor,58.64,3,,street,False,False,False,True,True,False,False,False,False,False,Flat | 3 rooms | 58m²,Beautiful property with new construction
2022-03-03,kraków,,876908.16,pln,flat,realtor,104.05,4,1.0,garage,False,True,False,True,True,False,False,False,False,False,Flat | 4 rooms | 104m²,"Beautiful property with balcony, new construction"
2023-07-24,kraków,,641494.09,pln,flat,realtor,49.86,2,1.0,,False,False,False,False,False,False,False,False,False,False,Flat | 2 rooms | 49m²,Well-maintained property in great location
2022-07-09,kraków,,728025.33,pln,flat,realtor,30.19,1,,,False,False,False,False,True,False,True,False,False,False,Flat | 1 rooms | 30m²,Beautiful property with new construction
2022-06-11,kraków,borek falecki,619630.54,pln,flat,owner,70.17,4,2.0,,False,False,True,True,False,False,False,False,False,False,Flat | 4 rooms | 70m² | Borek Falecki,Beautiful property with terrace
2023-08-16,,podgorze,1192878.27,pln,flat,realtor,105.61,4,1.0,,False,True,True,True,False,False,False,False,False,False,Flat | 4 rooms | 105m² | Podgorze,"Beautiful property with balcony, terrace"
2023-07-01,kraków,nowa huta,603506.74,pln,flat,realtor,38.91,2,,,False,False,False,False,True,True,False,False,False,False,Flat | 2 rooms | 38m² | Nowa Huta,Beautiful property with new construction
2023-03-26,kraków,pradnik bialy,804233.19,pln,flat,owner,132.24,4,1.0,,True,True,False,False,True,False,False,False,False,False,Flat | 4 rooms | 132m² | Pradnik Bialy,"Beautiful property with garden, balcony, new construction"
2023-10-07,kraków,zwierzyniec,876990.09,pln,flat,realtor,50.1,2,1.0,,False,False,False,False,False,False,False,False,False,False,Flat | 2 rooms | 50m² | Zwierzyniec,Well-maintained property in great location
2024-05-27,,,524124.65,pln,flat,owner,39.07,1,,,True,False,False,True,False,False,False,False,False,False,Flat | 1 rooms | 39m²,
2022-11-24,kraków,wzgorza krzeslawickie,642814.56,pln,flat,realtor,27.02,1,,garage,False,True,True,False,False,False,False,False,False,False,Flat | 1 rooms | 27m² | Wzgorza Krzeslawickie,"Beautiful property with balcony, terrace"
2022-01-24,kraków,,813134.68,pln,flat,realtor,55.99,2,1.0,garage,False,True,False,False,False,False,False,False,False,False,Flat | 2 rooms | 55m²,
2022-01-07,,borek falecki,506372.83,pln,flat,realtor,20.0,1,,,False,False,False,False,False,False,False,False,False,False,Flat | 1 rooms | 20m² | Borek Falecki,Well-maintained property in great location
2024-11-05,kraków,,844251.85,pln,,realtor,104.79,4,2.0,street,False,True,False,False,False,False,False,False,False,False,4 rooms | 104m²,Beautiful property with balcony
2022-02-09,kraków,,615036.18,pln,flat,realtor,43.73,2,1.0,,False,False,False,True,True,False,False,True,False,False,Flat | 2 rooms | 43m²,
2024-09-22,kraków,wzgorza krzeslawickie,776320.03,pln,flat,realtor,64.69,3,2.0,garage,False,False,False,True,False,True,False,True,False,False,Flat | 3 rooms | 64m² | Wzgorza Krzeslawickie,Well-maintained property in great location
2024-05-16,,bienczyce,494954.27,pln,flat,realtor,61.87,3,1.0,garage,False,True,False,False,True,True,False,False,True,False,Flat | 3 rooms | 61m² | Bienczyce,"Beautiful property with balcony, new construction"
2024-11-25,kraków,,1226474.41,pln,,,121.84,4,,,False,True,True,True,False,False,False,False,False,False,4 rooms | 121m²,"Beautiful property with balcony, terrace"
2022-05-01,kraków,podgorze duchackie,787695.4,pln,flat,,127.49,4,1.0,,False,False,False,False,True,False,False,False,False,False,Flat | 4 rooms | 127m² | Podgorze Duchackie,
2024-08-26,kraków,zwierzyniec,669937.31,pln,flat,realtor,51.78,3,1.0,street,False,False,False,False,False,False,False,False,True,True,Flat | 3 rooms | 51m² | Zwierzyniec,Well-maintained property in great location
2022-04-21,kraków,krowodrza,1047477.31,pln,flat,realtor,26.22,1,,,False,True,False,False,False,False,True,False,False,False,Flat | 1 rooms | 26m² | Krowodrza,Beautiful property with balcony
2024-07-07,kraków,,859961.99,pln,flat,realtor,111.88,4,1.0,,False,False,False,True,False,False,False,False,False,False,Flat | 4 rooms | 111m²,
2022-01-31,,podgorze duchackie,595548.32,pln,flat,realtor,46.85,2,1.0,,False,True,False,False,False,False,False,False,True,False,Flat | 2 rooms | 46m² | Podgorze Duchackie,
2024-02-16,kraków,,654819.37,pln,house,owner,48.75,1,1.0,,False,False,True,True,False,True,False,False,True,False,House | 1 rooms | 48m²,Beautiful property with terrace
2024-09-23,kraków,,859682.55,pln,flat,realtor,39.38,1,1.0,,False,False,False,False,True,False,True,False,True,False,Flat | 1 rooms | 39m²,Beautiful property with new construction
2024-10-26,,stare miasto,664776.42,pln,flat,owner,28.79,1,,no parking,False,False,True,False,False,False,False,False,False,True,Flat | 1 rooms | 28m² | Stare Miasto,Beautiful property with terrace
2024-04-06,kraków,podgorze duchackie,751796.57,pln,flat,realtor,64.14,3,,,False,False,True,True,False,False,False,False,False,False,Flat | 3 rooms | 64m² | Podgorze Duchackie,Beautiful property with terrace
2023-06-19,kraków,wzgorza krzeslawickie,687772.3,pln,flat,realtor,33.55,1,,no parking,False,True,False,False,False,False,False,True,False,False,Flat | 1 rooms | 33m² | Wzgorza Krzeslawickie,Beautiful property with balcony
2022-05-29,kraków,wzgorza krzeslawickie,886291.53,pln,flat,realtor,54.97,3,2.0,,False,False,False,False,False,True,True,True,True,False,Flat | 3 rooms | 54m² | Wzgorza Krzeslawickie,Well-maintained property in great location
2022-05-21,,,523639.47,pln,flat,realtor,58.66,3,,street,False,False,False,True,True,False,False,False,False,True,Flat | 3 rooms | 58m²,Beautiful property with new construction
2022-01-17,kraków,krowodrza,1047932.85,pln,flat,realtor,51.72,3,1.0,garage,True,True,False,False,False,False,False,True,False,False,Flat | 3 rooms | 51m² | Krowodrza,"Beautiful property with garden, balcony"
2022-11-15,kraków,bienczyce,844895.18,pln,house,realtor,40.0,2,1.0,garage,False,False,False,False,False,False,True,True,False,False,House | 2 rooms | 40m² | Bienczyce,Well-maintained property in great location
2022-04-15,kraków,swoszowice,966078.35,pln,flat,,,3,,garage,True,True,True,True,True,False,True,True,False,False,Flat | 3 rooms | 63m² | Swoszowice,"Beautiful property with garden, balcony, terrace, new construction"
2024-05-25,kraków,,666167.33,pln,flat,realtor,35.24,2,2.0,,True,True,False,False,True,False,False,False,False,False,Flat | 2 rooms | 35m²,"Beautiful property with garden, balcony, new construction"
2024-05-30,kraków,,765037.65,pln,flat,realtor,58.42,2,1.0,garage,False,True,False,True,True,False,False,False,True,False,Flat | 2 rooms | 58m²,"Beautiful property with balcony, new construction"
2022-07-30,kraków,czyzyny,988344.4,pln,flat,realtor,181.03,5,3.0,street,False,False,False,True,False,False,False,False,False,False,Flat | 5 rooms | 181m² | Czyzyny,
2022-12-29,,,722789.67,pln,flat,realtor,48.98,2,1.0,street,False,False,False,False,False,False,False,False,True,False,Flat | 2 rooms | 48m²,Well-maintained property in great location
2023-07-01,kraków,grzegorzki,895041.34,pln,flat,,56.93,2,,,True,False,False,True,False,True,True,False,False,False,Flat | 2 rooms | 56m² | Grzegorzki,Beautiful property with garden
2023-04-12,kraków,borek falecki,552054.46,pln,flat,realtor,29.97,1,,,True,False,False,False,False,False,False,False,False,False,Flat | 1 rooms | 29m² | Borek Falecki,Beautiful property with garden
2023-11-10,,,777920.4,pln,flat,realtor,65.23,3,2.0,garage,True,True,False,False,True,False,False,False,False,False,Flat | 3 rooms | 65m²,"Beautiful property with garden, balcony, new construction"
2023-10-05,kraków,stare miasto,962181.9,pln,flat,realtor,44.81,2,,,True,False,False,True,True,False,False,False,False,False,Flat | 2 rooms | 44m² | Stare Miasto,"Beautiful property with garden, new construction"
